ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020625012;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"454 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 56, dessiné au recto";
cl020625013;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"454 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 56, dessiné au verso";
cl020625014;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"455 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 57, dessiné au recto";
cl020625015;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"455 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 57, dessiné au verso";
cl020625016;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"456 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 58, dessiné au recto";
cl020625017;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"456 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 58, dessiné au verso";
cl020625018;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"457 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 59, dessiné au recto";
cl020625019;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"457 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 59, dessiné au verso";
cl020625020;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"458 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 60, dessiné au verso";
cl020625021;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"459 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 61, dessiné au recto";
cl020625022;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"459 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 61, dessiné au verso";
